State,1990,2001,2009,2010,2017,2018,2019,totalCases
Alabama,21421,19582,21194,18056,25469,25567,25046,156335
Alaska,3909,23160,4424,4537,6338,6555,6343,55266
Arizona,26334,28675,28128,26085,35647,34053,33141,212063
Arkansas,10848,99106,14905,14735,16996,16904,17643,191137
California,207879,212855,174934,164133,178597,176604,174331,1289333
Colorado,13811,15492,17022,16133,20901,22851,21938,128148
Connecticut,11342,11492,10588,10057,8190,7485,6546,65700
Delaware,5534,4868,5713,5575,4377,4079,4115,34261
District of Columbia,8448,9931,8089,8004,6976,6995,7403,55846
Florida,129044,130713,113541,101969,85606,81980,81270,724123
Georgia,41585,41671,42073,39072,37118,35619,36170,273308
Hawaii,2785,3117,3550,3574,3577,3622,4042,24267
Idaho,3066,3211,3805,3465,4111,4196,4000,25854
Illinois,88838,79504,64185,55835,55777,52343,51561,448043
Indiana,22261,22734,21455,20389,26307,25009,24966,163121
Iowa,8034,7865,8485,8333,9038,8303,8410,58468
Kansas,10159,10909,11460,10531,11654,12861,11968,79542
Kentucky,11908,10448,11000,10528,10292,9719,9701,73596
Louisiana,32033,30678,28878,24886,25986,25314,25537,193312
Maine,1406,1434,1580,1621,1610,1500,1548,10699
Maryland,38447,42088,33625,31620,30321,28330,27456,231887
Massachusetts,34023,30587,30503,30553,24318,23424,22578,195986
Michigan,56709,55424,49825,	48460,44883,45176,43686,344163
Minnesota,13085,13145,12874,12515,13345,12403,13332,90699
Mississippi,9671,10006,8451,8003,7661,7929,8272,59993
Missouri,27353,30472,29513,27252,32450,30696,30380,208116
Montana,1823,3187,2798,2693,3937,4040,4328,22806
Nebraska,7167,5214,5199	5104,5979,5583,5821,40067
Nevada,10311,12359,18639,17841,16663,16715,15210,107738
New Hampshire,1159,2144,2125,2198,2642,2404,2074,14746
New Jersey,33540,33094,27113,27055,20604,18536,18375,178317
New Mexico,14520,14288,12709,12126,16300,17637,17450,105030
New York,107147,98103,75110,75977,70746,68512,69764,565359
North Carolina,41474,40465,37946,34653,38043,36980,38995,268556
North Dakota,424,505,1723,1513,2133,2154,2169,10621
Ohio,35616,40023,38305,36366,34621,34426,34269,253626
Oklahoma,17066,17726,18560,17987,17989,18701,17086,125115
Oregon,12432,10650,9968,9655,11629,12146,11995,78475
Pennsylvania,14180,50432,48188,46514,40030,39099,39228,277671
Rhode Island,2840,3278,2678,2701,2474,2326,2342,18639
South Carolina,32920,29265,30799,27648,25412,25463,26323,197830
South Dakota,1227,1171,1777,2186,3753,3483,3530,17127
Tennessee,38111,42778,41933,38921,43940,42687,40647,289017
Texas,112306,122155,121684,113231,123984,118197,121474,833031
Utah,5869,5314,5998,5879,7515,7551,7553,45679
Vermont,676,644,837,815,1082,1155,1262,6471
Virginia,21626,20939,18195,17087,17811,17357,17753,130768
Washington,21716,21258,22412,21101,22483,23719,22377,155066
West Virginia,6336,5035,5554,5830,6564,5411,5674,40404
Wisconsin,12908,12486,14650,14142,18638,17365,17070,107259
Wyoming,1115,1272,1196,1104,1358,1226,1258,8529